Date,open,close,high,low,volumn,price_change,day
2018-08-23,251.5,250.8,255,245.25,103030,0.0137,2018-08-23
2018-08-24,246.05,251.75,253.85,245.1,49700,-0.0217,2018-08-24
2018-08-27,245.75,248.05,251.5,245.1,41860,-0.0012,2018-08-27
2018-08-28,255.25,245.8,259.5,243.2,938980,0.0387,2018-08-28
2018-08-29,266.1,257.5,279.9,255.95,537100,0.0425,2018-08-29
2018-08-30,261.7,266.2,272.9,261.05,284710,-0.0165,2018-08-30
2018-08-31,277,262.45,285.8,260.1,1400000,0.0585,2018-08-31
2018-09-03,269.15,276,279.95,266.2,331880,-0.0283,2018-09-03
2018-09-04,267.95,269.1,274.95,266,110930,-0.0045,2018-09-04
2018-09-05,277.9,265.05,279,263.2,274660,0.0371,2018-09-05
2018-09-06,285.15,275.6,287.5,270.3,310260,0.0261,2018-09-06
2018-09-07,298,285.75,299.25,283.2,404690,0.0451,2018-09-07
2018-09-10,313.1,300,320.65,300,1400000,0.0507,2018-09-10
2018-09-11,305.25,313.75,321.4,301.35,485390,-0.0251,2018-09-11
2018-09-12,311.35,307,314.6,297,626070,0.02,2018-09-12
2018-09-14,312.9,312.6,324.85,307,378390,0.005,2018-09-14
2018-09-17,309.1,310,311.9,304.35,131680,-0.0121,2018-09-17
2018-09-18,310.15,312.55,321.85,307.7,326890,0.0034,2018-09-18
2018-09-19,315.7,310.1,317.95,308.1,229580,0.0179,2018-09-19
2018-09-21,314.8,316.85,324.45,275.1,818250,-0.0029,2018-09-21
2018-09-24,303.9,310.25,317,284.8,408080,-0.0346,2018-09-24
2018-09-25,298.4,306.95,306.95,288.45,261560,-0.0181,2018-09-25
2018-09-26,294.35,300.4,302.35,291.5,133780,-0.0136,2018-09-26
2018-09-27,286.05,295.4,295.85,281.05,111670,-0.0282,2018-09-27
2018-09-28,282.35,285.1,295.5,276.25,151270,-0.0129,2018-09-28
2018-10-01,272.95,275.1,280,269.5,179600,-0.0333,2018-10-01
2018-10-03,270.75,272.9,280.4,270,70890,-0.0081,2018-10-03
2018-10-04,262.4,265.9,272.8,255.35,98670,-0.0308,2018-10-04
2018-10-05,259.75,265,268.95,255.55,152770,-0.0101,2018-10-05
2018-10-08,253.15,263.55,264.1,242.75,294810,-0.0254,2018-10-08
